 "course" , "topic" , "lable" , "dbr_link" , "slide" , "lab" , "lecture" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Lisp_(programming_language)" , "Lisp_(programming_language)" , "http://dbpedia.org/resource/Lisp_(programming_language)" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Lisp_(programming_language)" , "Lisp_(programming_language)" , "http://dbpedia.org/resource/Lisp_(programming_language)" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-1-intro-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Lisp_(programming_language)" , "Lisp_(programming_language)" , "http://dbpedia.org/resource/Lisp_(programming_language)" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-1-intro-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-8-DL-Winter2020-short.pdf" ,  , "http://focu.io/data#COMP472_lecture8" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab2.pdf" , "http://focu.io/data#COMP472_lab2" , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Algorithm" , "Algorithm" , "http://dbpedia.org/resource/Algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab3.pdf" , "http://focu.io/data#COMP472_lab3" , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#DNA_sequencing" , "DNA_sequencing" , "http://dbpedia.org/resource/DNA_sequencing" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#DNA_sequencing" , "DNA_sequencing" , "http://dbpedia.org/resource/DNA_sequencing" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Day6" , "Day6" , "http://dbpedia.org/resource/Day6" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Day6" , "Day6" , "http://dbpedia.org/resource/Day6" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-4-NB-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture4" ,
